time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,state,min_site_distances
2023-09-01T20:43:01.300Z,36.26766667,-97.26883333,5.56,2.65,ml,98,27.0,0.0,0.21,ok,ok2023rdog,2023-10-03T14:11:39.040Z,"2 km SE of Perry, Oklahoma",earthquake,,0.3,0.23,37.0,reviewed,ok,ok,OK,3.563264613055866
2023-07-17T00:46:16.890Z,35.53466667,-96.7635,7.0,3.09,ml,97,60.0,0.0,0.17,ok,ok2023nvzq,2023-09-28T21:33:33.040Z,"8 km NW of Prague, Oklahoma",earthquake,,0.4,0.24,38.0,reviewed,ok,ok,OK,1.8925260418764582
2023-07-17T00:31:47.229Z,35.53416667,-96.76066667,7.95,2.56,ml,99,56.0,0.0,0.22,ok,ok2023nvzd,2023-09-28T21:33:32.040Z,"9 km NW of Prague, Oklahoma",earthquake,,0.5,0.25,43.0,reviewed,ok,ok,OK,1.934602950183522
2023-07-16T20:57:19.500Z,35.5445,-96.7645,7.27,3.09,ml,82,75.0,0.1097784577,0.16,ok,ok2023nvsc,2023-09-28T21:33:31.040Z,"8 km SE of Sparks, Oklahoma",earthquake,,0.7,0.21,37.0,reviewed,ok,ok,OK,2.195600228725042
2023-07-16T20:54:47.270Z,35.53983333,-96.76016667,6.78,3.35,ml,76,57.0,0.0,0.2,ok,ok2023nvrz,2023-09-28T21:33:31.040Z,"9 km NW of Prague, Oklahoma",earthquake,,0.5,0.21,29.0,reviewed,ok,ok,OK,2.450941698002593
2023-07-11T21:58:42.920Z,34.0685,-97.437,12.6,2.9,ml,63,67.0,0.1709664506,0.28,ok,ok2023nmqp,2023-09-16T19:16:10.040Z,"10 km S of Wilson, Oklahoma",earthquake,,1.3,0.21,21.0,reviewed,ok,ok,OK,0.37346398505873313
2023-06-13T00:34:43.979Z,35.36266667,-98.079,8.76,2.75,ml,97,31.0,0.0,0.29,ok,ok2023llwd,2023-08-21T04:18:45.040Z,"12 km WSW of Union City, Oklahoma",earthquake,,1.0,0.23,47.0,reviewed,ok,ok,OK,0.45370422129611565
2023-06-03T10:56:48.250Z,35.119,-97.57616667,6.64,2.54,ml,95,33.0,0.0638874631,0.2,ok,ok2023kujq,2023-08-05T22:07:53.040Z,"1 km N of Cole, Oklahoma",earthquake,,0.3,0.22,42.0,reviewed,ok,ok,OK,2.4944950990297663
2023-05-17T07:59:31.739Z,36.70133333,-97.6705,4.0,2.75,ml,95,51.0,0.0,0.13,ok,ok2023jpcg,2023-07-24T01:16:27.040Z,"10 km W of Lamont, Oklahoma",earthquake,,0.4,0.27,48.0,reviewed,ok,ok,OK,3.9933934398002697
2023-05-15T21:30:20.910Z,35.536,-96.74966667,7.81,2.98,ml,90,34.0,0.0,0.14,ok,ok2023jmlz,2023-07-24T01:16:43.040Z,"8 km NW of Prague, Oklahoma",earthquake,,0.4,0.2,36.0,reviewed,ok,ok,OK,2.642174126226071
2023-05-15T07:17:49.289Z,35.24,-97.26683333,24.46,2.71,ml,100,34.0,0.0,0.2,ok,ok2023jljw,2023-07-24T01:16:49.040Z,"12 km E of Hall Park, Oklahoma",earthquake,,0.5,0.25,31.0,reviewed,ok,ok,OK,6.098232570186089
2023-05-07T08:28:23.329Z,35.24716667,-98.04966667,6.81,2.84,ml,74,72.0,0.03599293696,0.19,ok,ok2023iwwe,2023-07-22T19:16:16.040Z,"10 km NW of Pocasset, Oklahoma",earthquake,,0.4,0.24,32.0,reviewed,ok,ok,OK,3.720258789716973
2023-05-05T07:47:17.370Z,34.51866667,-97.70466667,14.46,2.68,ml,80,65.0,0.0,0.3,ok,ok2023itdu,2023-09-25T15:31:29.048Z,"7 km NNW of Velma, Oklahoma",earthquake,,1.3,0.23,25.0,reviewed,ok,ok,OK,0.21376270760343824
2023-05-04T11:38:17.699Z,35.251,-98.04666667,5.39,2.74,ml,94,48.0,0.04049205408,0.21,ok,ok2023irpx,2023-07-15T22:09:39.040Z,"10 km NW of Pocasset, Oklahoma",earthquake,,0.4,0.25,45.0,reviewed,ok,ok,OK,3.4659195550988073
2023-04-19T22:14:25.719Z,35.10333333,-96.30333333,2.51,2.63,ml,98,60.0,0.0,0.28,ok,ok2023hraj,2023-07-03T02:47:05.040Z,"5 km WNW of Horntown, Oklahoma",earthquake,,0.7,0.2,37.0,reviewed,ok,ok,OK,1.7551220451662826
2023-04-19T17:42:11.830Z,36.36816667,-98.16983333,5.0,3.05,ml,78,56.0,0.0,0.13,ok,ok2023hqrj,2023-07-03T02:47:07.040Z,"2 km SSE of Meno, Oklahoma",earthquake,,0.4,0.27,48.0,reviewed,ok,ok,OK,4.212455627171315
2023-04-19T06:37:00.360Z,35.79016667,-96.96533333,7.95,2.6,ml,78,32.0,0.0,0.13,ok,ok2023hpvk,2023-07-03T02:47:10.040Z,"4 km ESE of Carney, Oklahoma",earthquake,,0.6,0.24,48.0,reviewed,ok,ok,OK,0.7435353694196509
2023-04-07T14:44:43.649Z,35.79383333,-96.97616667,7.09,2.56,ml,86,39.0,0.0,0.21,ok,ok2023gunm,2023-06-13T03:12:31.040Z,"3 km ESE of Carney, Oklahoma",earthquake,,0.5,0.24,38.0,reviewed,ok,ok,OK,1.1538676643456371
2023-04-07T13:36:32.990Z,35.79116667,-96.97766667,7.0,3.36,ml,99,31.0,0.0,0.16,ok,ok2023gulf,2023-06-13T03:12:32.040Z,"3 km ESE of Carney, Oklahoma",earthquake,,0.3,0.2,42.0,reviewed,ok,ok,OK,1.3891160196533867
2023-04-06T09:16:56.829Z,35.7915,-96.9785,7.23,3.24,ml,81,31.0,0.0,0.14,ok,ok2023gshe,2023-06-13T03:12:41.040Z,Oklahoma,earthquake,,0.3,0.2,37.0,reviewed,ok,ok,OK,1.441330890330828
2023-04-06T08:57:16.809Z,35.7935,-96.96983333,7.0,4.0,mwr,99,32.0,0.0,0.18,ok,ok2023gsgn,2023-06-13T03:12:41.040Z,"4 km ESE of Carney, Oklahoma",earthquake,,0.4,,44.0,reviewed,ok,us,OK,0.646562704007351
2023-04-05T05:49:02.080Z,36.53933333,-98.9605,7.03,2.77,ml,88,48.0,0.04769064147,0.18,ok,ok2023gqet,2023-06-13T03:12:54.040Z,"8 km WSW of Waynoka, Oklahoma",earthquake,,0.2,0.23,27.0,reviewed,ok,ok,OK,1.7836608024807021
2023-04-05T02:32:40.530Z,35.79416667,-96.96883333,7.82,3.19,ml,91,51.0,0.0,0.22,ok,ok2023gpyi,2023-06-13T03:12:55.040Z,"4 km ESE of Carney, Oklahoma",earthquake,,0.5,0.22,37.0,reviewed,ok,ok,OK,0.5304544499794498
2023-03-20T03:35:41.600Z,36.95733333,-98.09016667,5.0,2.52,ml,89,96.0,0.2060595641,0.24,ok,ok2023fmuj,2023-05-26T21:54:07.040Z,"6 km SW of Manchester, Oklahoma",earthquake,,0.7,0.21,43.0,reviewed,ok,ok,OK,0.22711103297329016
2023-03-16T01:50:59.469Z,35.12266667,-95.54133333,7.12,2.6,ml,82,61.0,0.09898057663,0.23,ok,ok2023ffix,2023-05-20T23:20:28.040Z,"11 km E of Crowder, Oklahoma",earthquake,,0.6,0.23,13.0,reviewed,ok,ok,OK,1.4468934837118606
2023-03-15T20:43:22.839Z,36.42283333,-96.91183333,6.42,2.82,ml,100,67.0,0.0,0.26,ok,ok2023feyr,2023-05-20T23:20:27.040Z,"13 km NW of Pawnee, Oklahoma",earthquake,,0.3,0.22,27.0,reviewed,ok,ok,OK,1.7664964244728811
2023-02-21T08:27:05.080Z,35.96233333,-96.75883333,6.97,2.56,ml,100,64.0,0.0,0.2,ok,ok2023dpvj,2023-04-29T21:57:20.040Z,"2 km SSE of Cushing, Oklahoma",earthquake,,0.4,0.2,35.0,reviewed,ok,ok,OK,4.187704922858601
2023-02-17T20:45:57.679Z,36.38233333,-97.64483333,7.74,3.11,ml,98,31.0,0.0,0.19,ok,ok2023djlr,2023-04-22T21:33:17.040Z,"6 km ENE of Fairmont, Oklahoma",earthquake,,0.5,0.22,41.0,reviewed,ok,ok,OK,4.441722189637186
2023-02-12T18:30:38.070Z,36.6335,-98.49833333,2.4,2.61,ml,96,61.0,0.1196765154,0.21,ok,ok2023dadt,2023-04-22T21:33:03.040Z,"6 km ESE of Dacoma, Oklahoma",earthquake,,0.6,0.22,42.0,reviewed,ok,ok,OK,0.564302302904054
2023-01-30T05:52:26.129Z,36.45466667,-98.765,7.35,3.04,ml,98,40.0,0.0,0.17,ok,ok2023cblf,2023-04-13T21:53:10.040Z,"17 km SE of Waynoka, Oklahoma",earthquake,,0.2,0.2,37.0,reviewed,ok,ok,OK,2.184550159271293
2023-01-30T05:32:24.719Z,36.46,-98.7655,7.9,3.0,ml,95,34.0,0.0,0.17,ok,ok2023cbko,2023-04-13T21:53:10.040Z,"16 km SE of Waynoka, Oklahoma",earthquake,,0.2,0.21,39.0,reviewed,ok,ok,OK,1.6617152721043726
2023-01-29T05:26:30.600Z,36.25166667,-98.61933333,4.06,3.07,ml,84,193.0,0.0,0.13,ok,ok2023bzow,2023-04-13T21:53:08.040Z,"12 km W of Fairview, Oklahoma",earthquake,,0.4,0.23,31.0,reviewed,ok,ok,OK,1.3599941559801632
2023-01-28T04:52:36.490Z,35.00416667,-97.64966667,10.59,2.87,ml,96,33.0,0.0,0.31,ok,ok2023bxsg,2023-04-11T18:51:38.040Z,"3 km SSW of Dibble, Oklahoma",earthquake,,1.0,0.25,43.0,reviewed,ok,ok,OK,0.5767274921993725
2023-01-25T10:01:41.890Z,35.8515,-97.19116667,7.98,3.53,ml,84,46.0,0.0,0.12,ok,ok2023bspx,2023-04-15T16:21:07.396Z,"5 km ENE of Meridian, Oklahoma",earthquake,,0.3,0.26,43.0,reviewed,ok,ok,OK,1.3508780449962412
2023-01-22T01:04:49.350Z,36.10466667,-97.837,6.78,2.5,ml,101,36.0,0.0,0.15,ok,ok2023bmls,2023-04-11T18:51:51.040Z,"5 km E of Hennessey, Oklahoma",earthquake,,0.3,0.19,24.0,reviewed,ok,ok,OK,0.844964886697421
2023-01-19T14:20:55.130Z,36.382,-97.6435,7.83,3.03,ml,99,31.0,0.0,0.19,ok,ok2023bhzl,2023-03-31T19:45:27.040Z,"6 km ENE of Fairmont, Oklahoma",earthquake,,0.5,0.22,49.0,reviewed,ok,ok,OK,4.44863854992357
2023-01-18T00:17:14.699Z,36.10516667,-97.8355,7.46,2.63,ml,98,36.0,0.0,0.16,ok,ok2023bfcd,2023-03-31T19:44:59.040Z,"5 km E of Hennessey, Oklahoma",earthquake,,0.4,0.27,44.0,reviewed,ok,ok,OK,0.7061463577998559
2023-10-14T05:56:30.819Z,42.9594,-111.4905,6.272,2.8,ml,40,67.0,0.055,0.53,us,us6000lfhi,2023-10-14T06:06:44.040Z,"35 km NNE of Soda Springs, Idaho",earthquake,2.3,0.815,0.037,96.0,reviewed,us,us,ID,442.09077663741607
2023-10-12T19:46:32.337Z,44.2393,-115.1089,4.658,2.5,ml,14,57.0,0.231,0.42,us,us6000lf74,2023-10-13T14:44:07.040Z,"13 km W of Stanley, Idaho",earthquake,1.28,3.759,0.042,74.0,reviewed,us,us,ID,135.46393125096083
2023-10-12T19:30:22.779Z,44.2357,-115.091,5.587,2.9,ml,24,48.0,0.218,0.75,us,us6000lf70,2023-10-13T14:05:32.040Z,"12 km W of Stanley, Idaho",earthquake,1.49,1.307,0.037,96.0,reviewed,us,us,ID,136.81235708944044
2023-10-11T04:33:11.420Z,44.284,-114.832333333333,5.86,2.67,ml,29,44.0,0.178,0.25,mb,mb90029433,2023-10-11T15:00:58.530Z,"11 km NE of Stanley, Idaho",earthquake,0.38,0.92,0.266114463111319,33.0,reviewed,mb,mb,ID,157.99650013331794
2023-09-27T20:21:21.555Z,44.4141,-115.1176,10.0,2.7,ml,18,43.0,0.713,1.07,us,us6000lb7g,2023-10-03T15:16:42.430Z,southern Idaho,earthquake,2.18,1.989,0.055,44.0,reviewed,us,us,ID,139.13305332880233
2023-09-26T02:30:46.031Z,44.7192,-111.7828,10.0,2.5,ml,59,40.0,0.084,0.53,us,us7000ky3w,2023-09-27T00:20:00.040Z,"46 km NW of Island Park, Idaho",earthquake,1.35,1.999,0.048,56.0,reviewed,us,us,ID,404.4829682827865
2023-09-25T21:48:06.532Z,44.461,-115.195,10.0,2.5,ml,16,63.0,0.686,0.24,us,us7000ky20,2023-09-26T19:52:58.720Z,"33 km NW of Stanley, Idaho",earthquake,1.91,2.012,0.081,20.0,reviewed,us,us,ID,134.94013799572875
2023-09-13T07:46:09.520Z,44.3026666666667,-115.152333333333,10.2,2.62,ml,28,67.0,0.8275,0.22,mb,mb90027163,2023-09-15T14:33:37.630Z,"19 km WNW of Stanley, Idaho",earthquake,0.4,0.78,0.207234910723676,32.0,reviewed,mb,mb,ID,133.34969901114988
2023-09-06T19:54:12.182Z,44.6605,-114.4085,16.61,3.2,ml,50,55.0,0.542,0.54,us,us7000ktrd,2023-09-12T21:42:38.642Z,"22 km NW of Challis, Idaho",earthquake,1.37,7.298,0.038,93.0,reviewed,us,us,ID,201.08285112260245
2023-08-30T04:52:37.940Z,44.2527,-115.2215,20.882,2.8,ml,19,107.0,0.847,0.83,us,us7000ks0k,2023-10-02T22:21:44.040Z,"22 km W of Stanley, Idaho",earthquake,1.67,7.298,0.043,70.0,reviewed,us,us,ID,126.86741198622768
2023-08-23T20:48:16.615Z,44.6897,-111.7995,7.301,3.1,ml,42,43.0,0.103,0.37,us,us7000kqi2,2023-08-30T18:03:22.040Z,"45 km NW of Island Park, Idaho",earthquake,1.18,2.947,0.052,48.0,reviewed,us,us,ID,402.67603602842513
2023-08-23T06:32:08.094Z,44.6563,-114.3815,15.885,2.9,ml,39,66.0,0.557,0.55,us,us7000kq9n,2023-10-04T13:39:41.040Z,"20 km NW of Challis, Idaho",earthquake,1.62,7.072,0.048,58.0,reviewed,us,us,ID,202.94787109914432
2023-08-20T19:30:54.899Z,44.6349,-112.5968,12.418,3.5,mwr,43,36.0,0.038,0.49,us,us7000kpnv,2023-08-29T22:03:13.402Z,Idaho-Montana border region,earthquake,2.07,7.373,0.044,49.0,reviewed,us,us,ID,339.4547725292466
2023-08-20T13:59:11.779Z,44.2914,-115.2244,10.0,3.3,ml,25,105.0,0.853,0.78,us,us7000kpmg,2023-09-17T14:51:29.899Z,"24 km WNW of Stanley, Idaho",earthquake,2.06,1.992,0.031,138.0,reviewed,us,us,ID,127.47903381264928
2023-08-19T23:56:08.826Z,44.2658,-115.168,10.0,2.5,ml,30,103.0,0.819,0.81,us,us7000kpiz,2023-09-13T03:31:24.909Z,"19 km WNW of Stanley, Idaho",earthquake,1.42,2.009,0.056,42.0,reviewed,us,us,ID,131.3209013654062
2023-08-18T18:20:17.371Z,44.2901,-114.8301,13.104,2.7,ml,36,94.0,0.576,0.6,us,us7000kpax,2023-09-13T18:44:51.040Z,"11 km NE of Stanley, Idaho",earthquake,2.34,7.432,0.037,96.0,reviewed,us,us,ID,158.28240909449738
2023-08-09T03:41:00.814Z,44.6569,-114.3656,10.0,2.7,ml,46,66.0,0.36,0.78,us,us6000kysm,2023-09-12T22:51:22.040Z,southern Idaho,earthquake,1.83,1.646,0.04,82.0,reviewed,us,us,ID,204.15941863597942
2023-08-06T04:03:40.469Z,44.8197,-114.3969,14.96,3.6,mwr,49,40.0,0.429,0.51,us,us6000ky7k,2023-09-02T03:59:37.138Z,southern Idaho,earthquake,3.77,5.972,0.043,53.0,reviewed,us,us,ID,208.4376430089179
2023-06-27T02:58:11.013Z,44.3323,-115.1577,10.0,2.7,ml,34,108.0,0.8,0.58,us,us6000knc5,2023-09-08T14:18:23.040Z,"21 km NW of Stanley, Idaho",earthquake,1.69,2.013,0.039,88.0,reviewed,us,us,ID,133.666821305439
2023-06-20T16:40:11.565Z,44.2762,-115.0566,14.833,2.8,ml,32,53.0,0.839,0.38,us,us7000k9wn,2023-08-26T20:54:13.040Z,southern Idaho,earthquake,1.52,7.652,0.034,116.0,reviewed,us,us,ID,140.25379197548784
2023-06-18T13:22:30.292Z,43.8556,-115.0003,10.0,2.5,ml,13,114.0,0.516,0.69,us,us7000k9cy,2023-08-26T20:54:16.040Z,"40 km S of Stanley, Idaho",earthquake,1.72,1.998,0.097,14.0,reviewed,us,us,ID,143.84040269200995
2023-06-12T12:38:26.098Z,44.6192,-114.257,6.09,3.7,mwr,45,32.0,0.283,0.59,us,us7000k7yj,2023-08-21T04:18:44.040Z,"12 km N of Challis, Idaho",earthquake,2.23,4.73,0.033,86.0,reviewed,us,us,ID,211.0513281934818
2023-05-28T20:48:33.951Z,44.7585,-114.4031,10.0,2.6,ml,26,37.0,0.457,0.98,us,us7000k4p1,2023-08-05T22:07:37.040Z,southern Idaho,earthquake,2.27,1.988,0.048,58.0,reviewed,us,us,ID,205.3338110130134
2023-05-27T23:15:59.345Z,44.7732,-114.4167,5.0,2.5,ml,17,48.0,0.451,0.58,us,us7000k4mg,2023-07-29T22:00:45.040Z,"33 km NNW of Challis, Idaho",earthquake,1.43,1.937,0.091,16.0,reviewed,us,us,ID,204.96330631056122
2023-05-27T23:14:33.512Z,44.7815,-114.3903,10.0,2.5,ml,18,50.0,0.458,0.71,us,us7000k4j2,2023-07-29T22:00:44.040Z,"33 km NNW of Challis, Idaho",earthquake,1.3,1.991,0.052,48.0,reviewed,us,us,ID,207.24180335650348
2023-05-02T17:25:31.038Z,44.3192,-115.2416,20.389,3.0,ml,38,40.0,0.831,0.56,us,us7000jxj8,2023-07-15T22:10:55.040Z,"26 km WNW of Stanley, Idaho",earthquake,1.52,6.938,0.031,138.0,reviewed,us,us,ID,126.83757481319523
2023-05-02T17:25:07.215Z,44.3305,-115.2529,20.159,2.6,ml,18,63.0,0.823,0.65,us,us7000jxj7,2023-07-15T22:10:55.040Z,"28 km WNW of Stanley, Idaho",earthquake,2.71,5.149,0.105,12.0,reviewed,us,us,ID,126.2700558396757
2023-04-26T20:03:12.701Z,44.6943,-114.3893,16.382,3.4,mwr,52,36.0,0.524,0.56,us,us7000jw46,2023-07-11T01:45:02.040Z,"24 km NNW of Challis, Idaho",earthquake,2.97,7.946,0.066,22.0,reviewed,us,us,ID,203.7791129266952
2023-04-12T16:51:27.331Z,44.3561,-115.183,10.0,2.7,ml,45,38.0,0.782,0.66,us,us6000k3vf,2023-06-17T21:36:48.040Z,"24 km NW of Stanley, Idaho",earthquake,2.33,2.011,0.042,74.0,reviewed,us,us,ID,132.36757091417738
2023-04-05T14:46:11.777Z,44.3331,-115.0411,13.664,2.9,ml,8,68.0,0.781,0.29,us,us6000k25w,2023-06-13T03:12:50.040Z,"15 km NNW of Stanley, Idaho",earthquake,1.48,7.709,0.044,68.0,reviewed,us,us,ID,142.71947496508773
2023-04-01T12:14:58.119Z,44.3067,-115.166,10.0,3.4,mwr,19,64.0,0.826,0.87,us,us6000k1c8,2023-06-03T22:06:16.040Z,"20 km WNW of Stanley, Idaho",earthquake,1.5,2.012,0.046,45.0,reviewed,us,us,ID,132.3826406072452
2023-03-21T00:34:35.764Z,44.4683,-115.2531,10.0,2.6,ml,20,60.0,0.695,0.66,us,us7000jlk1,2023-05-26T21:54:09.040Z,"37 km NW of Stanley, Idaho",earthquake,2.09,1.946,0.052,48.0,reviewed,us,us,ID,130.8989204706579
2023-03-18T06:38:27.908Z,44.2859,-116.1633,10.0,2.6,ml,35,60.0,0.81,0.75,us,us7000jl19,2023-05-20T23:20:36.040Z,"6 km WSW of Smiths Ferry, Idaho",earthquake,4.56,2.006,0.045,64.0,reviewed,us,us,ID,56.51596387908607
2023-03-12T03:03:57.563Z,44.6246,-116.0793,12.062,3.7,mwr,34,49.0,0.466,0.68,us,us7000jj9w,2023-05-20T23:20:17.040Z,"11 km S of Donnelly, Idaho",earthquake,1.76,5.465,0.055,32.0,reviewed,us,us,ID,84.02422650983004
2023-03-09T10:15:02.530Z,44.1928,-115.1632,15.193,2.5,ml,24,72.0,0.831,0.76,us,us7000jifg,2023-05-15T02:49:48.040Z,"18 km W of Stanley, Idaho",earthquake,2.65,7.638,0.057,40.0,reviewed,us,us,ID,130.46302739206084
2023-02-27T11:34:09.162Z,44.6298,-113.6854,13.213,3.0,ml,29,72.0,0.628,0.33,us,us6000jrx0,2023-05-08T01:59:43.040Z,"26 km WSW of Leadore, Idaho",earthquake,3.33,7.349,0.041,78.0,reviewed,us,us,ID,254.99098855714573
2023-02-24T00:17:53.840Z,42.9951,-111.204,5.0,3.3,ml,34,88.0,0.242,0.48,us,us6000jr5d,2023-04-29T21:57:31.040Z,"13 km W of Freedom, Idaho",earthquake,1.88,1.889,0.043,71.0,reviewed,us,us,ID,463.3973617248816
2023-02-23T22:45:39.302Z,43.0032,-111.2061,5.0,2.8,ml,33,87.0,0.25,0.82,us,us6000jr4u,2023-04-29T21:57:31.040Z,"13 km W of Freedom, Idaho",earthquake,2.35,1.954,0.046,61.0,reviewed,us,us,ID,462.99312721572187
2023-02-16T00:55:40.755Z,44.4544,-115.1997,17.435,2.5,ml,29,56.0,0.693,0.25,us,us6000jp9p,2023-04-22T21:33:12.040Z,southern Idaho,earthquake,2.37,7.238,0.049,54.0,reviewed,us,us,ID,134.34163671653764
2023-02-14T03:16:35.216Z,44.462,-115.2003,16.253,2.7,ml,15,62.0,0.846,0.44,us,us6000jnpm,2023-04-22T21:33:07.040Z,"34 km NW of Stanley, Idaho",earthquake,1.93,7.394,0.062,34.0,reviewed,us,us,ID,134.58232992026691
2023-02-13T12:15:16.750Z,44.2338,-115.0605,10.0,2.5,ml,21,69.0,0.818,0.57,us,us6000jnku,2023-04-22T21:33:05.040Z,"9 km W of Stanley, Idaho",earthquake,2.37,2.012,0.048,58.0,reviewed,us,us,ID,139.18440790928898
2023-02-10T11:57:04.462Z,44.2689,-115.0281,10.0,2.5,ml,20,66.0,0.834,0.49,us,us6000jn2p,2023-04-15T21:39:53.040Z,"9 km NW of Stanley, Idaho",earthquake,3.18,2.012,0.047,60.0,reviewed,us,us,ID,142.3475053748736
2023-02-09T00:38:55.564Z,44.2658,-115.0235,14.646,2.5,ml,24,66.0,0.83,0.42,us,us6000jmly,2023-04-15T21:39:49.040Z,"8 km NW of Stanley, Idaho",earthquake,2.54,7.581,0.053,46.0,reviewed,us,us,ID,142.6507046461266
2023-02-09T00:32:58.570Z,44.259,-115.1083,20.025,2.8,ml,8,157.0,0.858,0.51,us,us7000jhjq,2023-04-15T21:40:14.040Z,"14 km WNW of Stanley, Idaho",earthquake,4.36,8.394,0.115,10.0,reviewed,us,us,ID,135.86697787943982
2023-02-09T00:32:36.737Z,44.2446,-115.0787,16.146,2.8,ml,25,68.0,0.834,0.7,us,us6000jmlw,2023-04-15T21:39:49.040Z,"11 km WNW of Stanley, Idaho",earthquake,2.4,8.441,0.048,56.0,reviewed,us,us,ID,137.9319800834135
2023-02-08T18:45:14.108Z,44.3157,-115.231,16.009,2.8,ml,24,54.0,0.831,0.86,us,us6000jmjt,2023-04-15T21:39:48.040Z,southern Idaho,earthquake,3.4,7.242,0.042,74.0,reviewed,us,us,ID,127.56607793827916
2023-02-05T14:46:39.244Z,44.4491,-114.5564,10.0,2.7,ml,19,70.0,0.686,0.74,us,us6000jlk5,2023-04-15T21:39:32.040Z,"24 km NNW of Clayton, Idaho",earthquake,2.02,1.941,0.066,30.0,reviewed,us,us,ID,183.15998484482952
2023-02-05T07:01:48.793Z,44.4164,-115.215,10.0,2.5,ml,11,70.0,0.733,0.8,us,us6000jlit,2023-04-15T21:39:32.040Z,"31 km NW of Stanley, Idaho",earthquake,1.72,2.012,0.061,35.0,reviewed,us,us,ID,131.82962344171497
2023-02-04T13:22:20.761Z,44.2573,-114.7944,10.0,2.8,ml,14,67.0,0.747,0.29,us,us6000jlei,2023-04-13T21:53:24.040Z,"12 km ENE of Stanley, Idaho",earthquake,1.84,2.013,0.053,46.0,reviewed,us,us,ID,160.53671599812625
2023-02-04T09:39:22.165Z,44.3785,-115.1606,10.0,2.5,ml,20,58.0,0.928,0.4,us,us6000jld2,2023-04-13T21:53:23.040Z,"25 km NW of Stanley, Idaho",earthquake,1.33,1.993,0.056,42.0,reviewed,us,us,ID,134.74278847020756
2023-02-02T18:44:11.951Z,44.2812,-114.8652,14.168,3.0,ml,44,34.0,0.789,0.77,us,us6000jl11,2023-04-13T21:53:19.040Z,"9 km NE of Stanley, Idaho",earthquake,4.3,7.696,0.034,116.0,reviewed,us,us,ID,155.3642134699266
2023-02-02T15:38:41.100Z,44.3123,-114.6667,12.674,2.8,ml,25,60.0,0.771,0.64,us,us6000jkzz,2023-04-13T21:53:19.040Z,"22 km WNW of Clayton, Idaho",earthquake,2.19,7.249,0.032,126.0,reviewed,us,us,ID,171.51476642685415
